Ano,Município,CaixasMultibanco,DepositosBancarios
2023,Idanha-a-Nova,13,333224
2023,Ílhavo,41,986418
2023,Lagoa,55,945106
2023,Lagoa [R.A.A.],11,171824
2023,Lagos,77,1452480
2023,Lajes do Pico,13,128130
2023,Lamego,26,491192
2023,Leiria,143,8288750
2023,Lisboa,1155,145165958
2023,Loulé,152,5245226
2023,Loures,179,5001168
2023,Lourinhã,41,1046400
2023,Lousã,21,525838
2023,Lousada,37,672628
2023,Mação,8,201722
2023,Macedo de Cavaleiros,21,678520
2023,Machico,21,522652
2023,Madalena,17,198214
2023,Mafra,103,2473468
2023,Maia,120,4519086
2023,Mangualde,20,1050276
2023,Marco de Canaveses,41,1479814
2023,Marinha Grande,39,1475068
2023,Matosinhos,187,4938398
2023,Mealhada,33,540766
2023,Mêda,6,272586
2023,Melgaço,8,425510
2023,Mértola,7,241568
2023,Mira,13,547464
2023,Miranda do Corvo,14,300428
2023,Miranda do Douro,12,407048
2023,Mirandela,27,716890
2023,Mogadouro,7,208330
2023,Moimenta da Beira,10,286464
2023,Moita,53,1100570
2023,Monção,21,1078264
2023,Mondim de Basto,7,246744
2023,Montalegre,10,612552
2023,Montemor-o-Novo,27,572940
2023,Montemor-o-Velho,19,482140
2023,Montijo,55,1346584
2023,Mora,7,180880
2023,Mortágua,11,506240
2023,Moura,21,420636
2023,Murça,5,232340
2023,Murtosa,12,256168
2023,Nazaré,28,433730
2023,Nelas,18,348306
2023,Nordeste,8,55876
2023,Óbidos,25,194512
2023,Odemira,44,877178
2023,Odivelas,115,4081288
2023,Oeiras,205,27626204
2023,Oleiros,5,197602
2023,Olhão,56,1092514
2023,Oliveira de Azeméis,51,1805624
2023,Oliveira de Frades,15,368522
2023,Oliveira do Bairro,27,838522
2023,Oliveira do Hospital,27,752500
2023,Ourém,60,2588442
2023,Ourique,7,236690
2023,Ovar,58,1511458
2023,Paços de Ferreira,55,1408946
2023,Palmela,63,1122444
2023,Pampilhosa da Serra,9,132872
2023,Paredes,68,2110874
2023,Paredes de Coura,7,299474
2023,Pedrógão Grande,7,185202
2023,Penacova,10,300918
2023,Penafiel,65,2259908
2023,Penalva do Castelo,4,403980
2023,Penamacor,5,229476
2023,Peniche,38,1014004
2023,Peso da Régua,21,666930
2023,Pinhel,7,431344
2023,Pombal,62,3050970
2023,Ponta Delgada,109,3913434
2023,Ponte de Lima,33,1516046
2023,Ponte de Sor,24,510336
2023,Portalegre,42,936820
2023,Portel,10,51432
2023,Portimão,123,2302230
2023,Porto,453,37434754
2023,Porto de Mós,26,699700
2023,Porto Santo,11,107836
2023,Póvoa de Lanhoso,19,848218
2023,Póvoa de Varzim,72,2804366
2023,Povoação,13,115448
2023,Proença-a-Nova,6,316708
2023,Redondo,7,145032
2023,Reguengos de Monsaraz,14,394400
2023,Resende,10,289718
2023,Ribeira Brava,16,723686
2023,Ribeira de Pena,6,195470
2023,Ribeira Grande,35,480846
2023,Rio Maior,32,691354
2023,Sabugal,18,787598
2023,Salvaterra de Magos,22,492202
2023,Santa Comba Dão,17,251712
2023,Santa Cruz,33,549556
2023,Santa Cruz da Graciosa,10,116374
2023,Santa Maria da Feira,108,4060380
2023,Santana,11,275678
2023,Santarém,87,3162260
2023,Santiago do Cacém,34,1019046
2023,Santo Tirso,57,1835594
2023,São Brás de Alportel,11,516340
2023,São João da Madeira,40,2217526
2023,São João da Pesqueira,10,235340
2023,São Pedro do Sul,17,609076
2023,Sátão,9,395588
2023,Seia,27,1002230
2023,Seixal,122,2701070
2023,Sernancelhe,6,328818
2023,Serpa,16,448384
2023,Sertã,14,544286
2023,Sesimbra,52,1300728
2023,Setúbal,115,5013972
2023,Sever do Vouga,14,383650
2023,Silves,65,1154884
2023,Sines,24,713284
2023,Sintra,321,8914096
2023,Sobral de Monte Agraço,13,330496
2023,Soure,16,435024
2023,Sousel,7,116026
2023,Tábua,11,281090
2023,Tabuaço,5,132462
2023,Tavira,60,1376104
2023,Terras de Bouro,9,199674
2023,Tomar,41,1354062
2023,Tondela,31,1091406
2023,Torre de Moncorvo,5,372314
2023,Torres Novas,43,1210292
2023,Torres Vedras,93,4255486
2023,Trancoso,14,677154
2023,Trofa,41,995676
2023,Vagos,32,1061348
2023,Vale de Cambra,27,937630
2023,Valença,20,765086
2023,Valongo,86,2494220
2023,Valpaços,14,774426
2023,Velas,12,163994
2023,Vendas Novas,15,523770
2023,Viana do Alentejo,8,124266
2023,Viana do Castelo,90,3749614
2023,Vieira do Minho,17,435444
2023,Vila da Praia da Vitória,31,406962
2023,Vila do Bispo,22,165932
2023,Vila do Conde,80,1849608
2023,Vila do Porto,9,156412
2023,Vila Franca de Xira,121,3698504
2023,Vila Franca do Campo,13,283748
2023,Vila Nova de Famalicão,109,4959948
2023,Vila Nova de Foz Côa,9,342996
2023,Vila Nova de Gaia,274,5805490
2023,Vila Nova de Paiva,5,369340
2023,Vila Pouca de Aguiar,10,629254
2023,Vila Real,67,2654654
2023,Vila Real de Santo António,47,965066
2023,Vila Verde,43,1669760
2023,Vila Viçosa,11,181428
2023,Vimioso,6,178854
2023,Vinhais,5,247902
2023,Viseu,126,5900564
2023,Vizela,22,721570
2023,Vouzela,9,242874
